affil_norm,mapped_to,label,latitude,longitude,match_type,score,suggestions
u s  doe agile biofoundry,,u s  doe agile biofoundry,,,unmapped,,[]
u s  doe ames laboratory,,u s  doe ames laboratory,,,unmapped,,[]
u s  doe national energy technology laboratory,,u s  doe national energy technology laboratory,,,suggested,,"[('national renewable energy laboratory', 0.6341463414634146), ('national chemical laboratory', 0.6216216216216216), ('idaho national laboratory', 0.6197183098591549), ('national university of technology', 0.6075949367088608), ('los alamos national laboratory', 0.6052631578947368)]"
u s  environmental protection agency,,u s  environmental protection agency,,,unmapped,,[]
u s dept  of energy,,u s dept  of energy,,,suggested,,"[('u.s. department of energy', 0.7727272727272727)]"
uc davis,,uc davis,,,unmapped,,[]
uc riverside,,uc riverside,,,suggested,,"[('uc irvine', 0.5714285714285714), ('koc university', 0.6153846153846154)]"
ucl,,ucl,,,unmapped,,[]
ucl school of pharmacy,,ucl school of pharmacy,,,unmapped,,[]
ucla henry samueli school of engineering and applied science,,ucla henry samueli school of engineering and applied science,,,suggested,,"[('pakistan institute of engineering and applied sciences', 0.6491228070175439)]"
uconn,,uconn,,,unmapped,,[]
uconn health,,uconn health,,,unmapped,,[]
ucr,,ucr,,,unmapped,,[]
ucsd  nanoengineering department,,ucsd  nanoengineering department,,,unmapped,,[]
ues  inc,,ues  inc,,,suggested,,"[('css inc', 0.6666666666666666)]"
ufc - universidade federal do ceara,,ufc - universidade federal do ceara,,,suggested,,"[('universidade federal de são carlos', 0.782608695652174), ('universidade federal do rio grande do sul', 0.6842105263157895), ('universidade estadual de campinas', 0.6764705882352942), ('universidade de lisboa', 0.5614035087719298), ('universidad de carabobo', 0.5862068965517241)]"
uga,,uga,,,suggested,,"[('gea', 0.6666666666666666)]"
uiuc,,uiuc,,,unmapped,,[]
ukurhuleni water care company,,ukurhuleni water care company,,,suggested,,"[('hyundai motor company', 0.56)]"
ulsan national institute of science and technology,,ulsan national institute of science and technology,,,suggested,,"[('srm institute of science and technology', 0.8314606741573034), ('national institute of standards and technology', 0.8125), ('korean institute science and technology', 0.7865168539325843), ('korea advanced institute of science and technology', 0.76), ('university of science and technology', 0.6976744186046512)]"
umass,,umass,,,unmapped,,[]
umass amherst,,umass amherst,,,unmapped,,[]
umass amherst  department of chemical engineering,,umass amherst  department of chemical engineering,,,unmapped,,[]
umass lowell,,umass lowell,,,unmapped,,[]
umbc,,umbc,,,unmapped,,[]
unal-med student chapter in colombia,,unal-med student chapter in colombia,,,unmapped,,[]
unam,,unam,,,unmapped,,[]
uniformed services university of the health sciences,,uniformed services university of the health sciences,,,suggested,,"[('american university of the middle east', 0.6)]"
united cleanup oak ridge llc,,united cleanup oak ridge llc,,,unmapped,,[]
univ  of patras and abu dhabi university,,univ  of patras and abu dhabi university,,,suggested,,"[('abu dhabi university', 0.6666666666666666)]"
univ fed ceara,,univ fed ceara,,,unmapped,,[]
univ lille  centrale lille  enscl  univ artois  umr 8181 - uccs- unité de catalyse et chimie du solide,,univ lille  centrale lille  enscl  univ artois  umr 8181 - uccs- unité de catalyse et chimie du solide,,,unmapped,,[]
univ of ar,,univ of ar,,,suggested,,"[('university of ar', 0.7692307692307693), ('university of tartu', 0.6896551724137931), ('university of pau', 0.6666666666666666), ('university of patras', 0.6666666666666666), ('university of warwick', 0.6451612903225806)]"
univeristy of cape town,,univeristy of cape town,,,suggested,,"[('university of dayton', 0.7906976744186046), ('university of pretoria', 0.7555555555555555), ('university of iowa', 0.7317073170731707), ('university of vermont', 0.6818181818181818), ('university of toronto', 0.7272727272727273)]"
univeristy of texas at san antonio,,univeristy of texas at san antonio,,,suggested,,"[('university of texas at austin', 0.7619047619047619), ('the university of texas at el paso', 0.7058823529411765), ('the university of texas at tyler', 0.696969696969697), ('university of pannonia', 0.6785714285714286), ('university of texas medical branch', 0.6764705882352942)]"
universidad autonoma de mexico,,universidad autonoma de mexico,,,suggested,,"[('universidad autónoma de sinaloa', 0.819672131147541), ('universidad autónoma de san luis potosí', 0.7246376811594203), ('universidad nacional de colombia', 0.7096774193548387), ('university of new mexico', 0.7037037037037037), ('universidad san francisco de quito', 0.625)]"
universidad autónoma metropolitana -iztapalapa,,universidad autónoma metropolitana -iztapalapa,,,suggested,,"[('universidad autónoma de sinaloa', 0.6753246753246753), ('universidad autónoma de san luis potosí', 0.5882352941176471)]"
universidad autónoma metropolitana unidad iztapalapa,,universidad autónoma metropolitana unidad iztapalapa,,,suggested,,"[('universidad autónoma de sinaloa', 0.6265060240963856), ('universidad mariana de pasto', 0.6)]"
universidad de chile,,universidad de chile,,,suggested,,"[('universidade de lisboa', 0.7619047619047619), ('universidad de carabobo', 0.7441860465116279), ('universidad del atlántico', 0.7111111111111111), ('universidad de guanajuato', 0.6666666666666666), ('universidad autónoma de sinaloa', 0.6666666666666666)]"
universidad de ingeniería y tecnología,,universidad de ingeniería y tecnología,,,suggested,,"[('universidad autónoma de sinaloa', 0.6086956521739131), ('universidad de guanajuato', 0.6031746031746031), ('universidade de lisboa', 0.5666666666666667)]"
universidad de los andes,,universidad de los andes,,,suggested,,"[('universidade de lisboa', 0.782608695652174), ('universidad del atlántico', 0.7346938775510204), ('universidad de las americas puebla', 0.7241379310344828), ('universidad de guanajuato', 0.6938775510204082), ('universidad de carabobo', 0.6808510638297872)]"
universidad de los andes  carrera,,universidad de los andes  carrera,,,suggested,,"[('universidad de carabobo', 0.6785714285714286), ('universidad de las americas puebla', 0.6865671641791045), ('universidad del atlántico', 0.6551724137931034), ('universidad de guanajuato', 0.6551724137931034), ('universidade de lisboa', 0.6545454545454545)]"
universidad nacional autónoma de méxico,,universidad nacional autónoma de méxico,,,suggested,,"[('universidad autónoma de sinaloa', 0.7428571428571429), ('universidad nacional de colombia', 0.7323943661971831), ('universidad autónoma de san luis potosí', 0.6666666666666666), ('universidad del atlántico', 0.625), ('universidad san francisco de quito', 0.6301369863013698)]"
universidad nacional de colombia   sede medellín  facultad de minas,,universidad nacional de colombia   sede medellín  facultad de minas,,,suggested,,"[('universidad nacional de colombia', 0.6464646464646465)]"
universidad nacional de ingenieria,,universidad nacional de ingenieria,,,suggested,,"[('universidad nacional de colombia', 0.7878787878787878), ('universidad industrial de santander', 0.6956521739130435), ('universidad autónoma de sinaloa', 0.6461538461538462), ('universidade estadual de campinas', 0.6567164179104478), ('universidad michoacana de san nicolás de hidalgo', 0.5853658536585366)]"
universidad nacional de ingeniería,,universidad nacional de ingeniería,,,suggested,,"[('universidad nacional de colombia', 0.7878787878787878), ('universidad industrial de santander', 0.6956521739130435), ('universidad autónoma de sinaloa', 0.6461538461538462), ('universidade estadual de campinas', 0.6567164179104478), ('universidad san francisco de quito', 0.6470588235294118)]"
universidad nacional mayor de san marcos,,universidad nacional mayor de san marcos,,,suggested,,"[('universidad nacional de colombia', 0.7222222222222222), ('universidad autónoma de sinaloa', 0.647887323943662), ('universidad industrial de santander', 0.6666666666666666), ('universidad autónoma de san luis potosí', 0.6582278481012658), ('universidade federal de são carlos', 0.6486486486486487)]"
universidade de são paulo,,universidade de são paulo,,,suggested,,"[('university of são paulo', 0.7916666666666666), ('universidade federal de são carlos', 0.7796610169491526), ('universidade de lisboa', 0.8085106382978723), ('universidad de carabobo', 0.7083333333333334), ('universidad de guanajuato', 0.64)]"
universidade estadual do maranhao,,universidade estadual do maranhao,,,suggested,,"[('universidade estadual de campinas', 0.7878787878787878), ('universidade federal de são carlos', 0.7164179104477612), ('universidade federal do rio grande do sul', 0.6756756756756757), ('universidad industrial de santander', 0.6470588235294118), ('universidad de carabobo', 0.6071428571428571)]"
universidade federal de minas gerais,,universidade federal de minas gerais,,,suggested,,"[('universidade federal de são carlos', 0.7428571428571429), ('universidade estadual de campinas', 0.7536231884057971), ('universidade federal do rio grande do sul', 0.6493506493506493), ('universidad industrial de santander', 0.676056338028169), ('universidad de las americas puebla', 0.6285714285714286)]"
universiry college london,,universiry college london,,,suggested,,"[('university college dublin', 0.8), ('university college cork', 0.7916666666666666), ('imperial college london', 0.7916666666666666), ('university of wollongong', 0.6938775510204082), ('university of liege', 0.6818181818181818)]"
universite de pau et des pays de l adour  e2s uppa  latep,,universite de pau et des pays de l adour  e2s uppa  latep,,,unmapped,,[]
universite de pau et des pays de l adour  latep,,universite de pau et des pays de l adour  latep,,,unmapped,,[]
universite de toulouse,,universite de toulouse,,,suggested,,"[('university of tulsa', 0.7317073170731707), ('university of louisville', 0.6956521739130435), ('university of turku', 0.6829268292682927), ('universidade de lisboa', 0.6363636363636364), ('université de sherbrooke', 0.6956521739130435)]"
universiti teknologi petronas,,universiti teknologi petronas,,,suggested,,"[('universiti teknologi malaysia utm', 0.7096774193548387), ('university of patras', 0.6938775510204082), ('université grenoble alpes', 0.6666666666666666), ('university of pretoria', 0.6666666666666666), ('university of vermont', 0.56)]"
university at buffalo  state university of new york,,university at buffalo  state university of new york,,,suggested,,"[('columbia university in the city of new york', 0.6170212765957447)]"
university at buffalo  the state university of new york,,university at buffalo  the state university of new york,,,suggested,,"[('columbia university in the city of new york', 0.6326530612244898)]"
university college dublin  ireland,,university college dublin  ireland,,,suggested,,"[('university college dublin', 0.847457627118644), ('university college cork', 0.7017543859649122), ('university of queensland', 0.6551724137931034), ('university of rhode island', 0.6333333333333333), ('university of ljubljana', 0.631578947368421)]"
university college hospital,,university college hospital,,,suggested,,"[('university college cork', 0.8), ('university college dublin', 0.7692307692307693), ('university of houston', 0.7083333333333334), ('university of georgia', 0.7083333333333334), ('university of liege', 0.6956521739130435)]"
university college london,,university college london,,,suggested,,"[('university college dublin', 0.84), ('university college cork', 0.8333333333333334), ('imperial college london', 0.7916666666666666), ('university of wollongong', 0.7346938775510204), ('university of liege', 0.7272727272727273)]"
university college london - torrington place,,university college london - torrington place,,,suggested,,"[('university college dublin', 0.6376811594202898), ('university college cork', 0.6268656716417911)]"
university college of london,,university college of london,,,suggested,,"[('university college dublin', 0.7924528301886793), ('university college cork', 0.7843137254901961), ('imperial college london', 0.7450980392156863), ('university of wollongong', 0.6923076923076923), ('university of toronto', 0.6938775510204082)]"
university hospital cologne,,university hospital cologne,,,suggested,,"[('university of bologna', 0.75), ('university of houston', 0.7083333333333334), ('university of south carolina', 0.6181818181818182), ('university of wollongong', 0.7058823529411765), ('university of toronto', 0.6666666666666666)]"
university of alberta  edmonton  canada,,university of alberta  edmonton  canada,,,suggested,,"[('university of alberta', 0.7), ('university of salamanca', 0.6774193548387096), ('university of vermont', 0.6666666666666666), ('university of aberdeen', 0.6557377049180327), ('university of bremen', 0.6101694915254238)]"
university of blumenau - furb,,university of blumenau - furb,,,suggested,,"[('university of bremen', 0.7346938775510204), ('university of maribor', 0.64), ('university of bologna', 0.72), ('university of luxembourg', 0.7169811320754716), ('university of ar', 0.7111111111111111)]"
university of california  riverside and center for environmental research and technology,,university of california  riverside and center for environmental research and technology,,,unmapped,,[]
university of california technical institute,,university of california technical institute,,,suggested,,"[('university of california davis', 0.7297297297297297), ('university of california, merced', 0.7368421052631579), ('university of california, irvine', 0.7368421052631579), ('university of california san diego', 0.6666666666666666), ('university of california santa cruz', 0.7088607594936709)]"
university of capet town,,university of capet town,,,suggested,,"[('university of dayton', 0.8181818181818182), ('university of pretoria', 0.782608695652174), ('university of iowa', 0.7619047619047619), ('university of vermont', 0.7111111111111111), ('university of toronto', 0.7555555555555555)]"
university of chemical technology and metallurgy,,university of chemical technology and metallurgy,,,suggested,,"[('university of chemistry and technology in prague', 0.7083333333333334), ('beijing university of chemical technology', 0.7415730337078652), ('university of science and technology', 0.6904761904761905), ('institute of chemical technology mumbai', 0.6666666666666666), ('university of science and technology of china', 0.6666666666666666)]"
university of chicago,,university of chicago,,,suggested,,"[('university of michigan', 0.8372093023255814), ('university of illinois chicago', 0.8235294117647058), ('university of iowa', 0.8205128205128205), ('university of ar', 0.8108108108108109), ('university of calgary', 0.8095238095238095)]"
university of chile,,university of chile,,,suggested,,"[('university of maine', 0.8421052631578947), ('university of liege', 0.8421052631578947), ('university of leeds', 0.8421052631578947), ('university of michigan', 0.8292682926829268), ('university of hawaii', 0.8205128205128205)]"
university of colorado anschutz medical campus,,university of colorado anschutz medical campus,,,suggested,,"[('university of colorado boulder', 0.6578947368421053), ('university of colorado denver', 0.6666666666666666), ('university of california los angeles', 0.5365853658536586), ('university of texas medical branch', 0.65), ('the university of texas at el paso', 0.6)]"
university of colorado denver - anschutz medical campus,,university of colorado denver - anschutz medical campus,,,suggested,,"[('university of colorado denver', 0.6904761904761905), ('university of colorado boulder', 0.611764705882353)]"
university of colorado denver anschutz medical campus,,university of colorado denver anschutz medical campus,,,suggested,,"[('university of colorado denver', 0.7073170731707317), ('university of colorado boulder', 0.6265060240963856)]"
university of colorado school of medicine,,university of colorado school of medicine,,,suggested,,"[('university of colorado boulder', 0.7323943661971831), ('washington university school of medicine', 0.7160493827160493), ('university of colorado denver', 0.7428571428571429), ('wake forest school of medicine', 0.676056338028169), ('university of california san diego', 0.6666666666666666)]"
university of east london,,university of east london,,,suggested,,"[('university of waterloo', 0.7659574468085106), ('university of dayton', 0.8), ('university of toronto', 0.782608695652174), ('university of houston', 0.782608695652174), ('university of wollongong', 0.7755102040816326)]"
university of erlangen-nuremberg,,university of erlangen-nuremberg,,,suggested,,"[('university of luxembourg', 0.75), ('university of gothenburg', 0.7142857142857143), ('university of delaware', 0.7037037037037037), ('university of bremen', 0.6923076923076923), ('university of tennessee', 0.6909090909090909)]"
university of florida student chapter,,university of florida student chapter,,,suggested,,"[('university of colorado denver', 0.7272727272727273), ('university of florida', 0.7241379310344828), ('university of california santa cruz', 0.7222222222222222), ('university of colorado boulder', 0.6865671641791045), ('university of rochester', 0.6666666666666666)]"
university of hohenheim,,university of hohenheim,,,suggested,,"[('university of copenhagen', 0.8085106382978723), ('university of oregon', 0.7906976744186046), ('university of rochester', 0.782608695652174), ('university of houston', 0.7727272727272727), ('university of gothenburg', 0.7659574468085106)]"
university of illinois  urbana-champaign,,university of illinois  urbana-champaign,,,suggested,,"[('university of illinois chicago', 0.7714285714285715), ('university of illinois', 0.7096774193548387), ('university of nottingham', 0.59375), ('university of isfahan', 0.5901639344262295), ('university of michigan', 0.5806451612903226)]"
university of illinois at urbana champaign,,university of illinois at urbana champaign,,,suggested,,"[('university of illinois chicago', 0.75), ('university of illinois', 0.6875), ('university of california davis', 0.5277777777777778), ('university of nottingham', 0.5757575757575758), ('university of notre dame', 0.5757575757575758)]"
university of illinois at urbana-champaign,,university of illinois at urbana-champaign,,,suggested,,"[('university of illinois chicago', 0.75), ('university of illinois', 0.6875), ('university of nottingham', 0.5757575757575758), ('university of isfahan', 0.6031746031746031), ('university of michigan', 0.5625)]"
university of illinois at urbana-champain,,university of illinois at urbana-champain,,,suggested,,"[('university of illinois chicago', 0.7323943661971831), ('university of illinois', 0.6984126984126984), ('university of nottingham', 0.5846153846153846), ('university of isfahan', 0.6129032258064516), ('university of texas at austin', 0.6285714285714286)]"
university of illinois laboratory high school,,university of illinois laboratory high school,,,suggested,,"[('university of illinois chicago', 0.72), ('university of illinois', 0.6567164179104478), ('university of colorado boulder', 0.5333333333333333), ('university of strathclyde', 0.5428571428571428), ('university of north texas', 0.6)]"
university of illinois urbana champaign,,university of illinois urbana champaign,,,suggested,,"[('university of illinois chicago', 0.782608695652174), ('university of illinois', 0.7213114754098361), ('university of nottingham', 0.6031746031746031), ('university of isfahan', 0.6), ('university of california davis', 0.5507246376811594)]"
university of illinois urbana-champaign,,university of illinois urbana-champaign,,,suggested,,"[('university of illinois chicago', 0.782608695652174), ('university of illinois', 0.7213114754098361), ('university of nottingham', 0.6031746031746031), ('university of isfahan', 0.6), ('university of michigan', 0.5901639344262295)]"
university of iowa aiche student chapter,,university of iowa aiche student chapter,,,suggested,,"[('university of rochester', 0.6984126984126984), ('the university of manchester', 0.6470588235294118), ('university of minnesota twin cities', 0.64), ('university of massachusetts amherst', 0.56), ('university of california santa cruz', 0.64)]"
university of kentucky accelerator laboratory,,university of kentucky accelerator laboratory,,,suggested,,"[('university of kentucky', 0.6567164179104478), ('university of canterbury', 0.6086956521739131), ('university of toronto', 0.6060606060606061), ('university of calgary', 0.6060606060606061), ('university of alberta', 0.5757575757575758)]"
university of kwazulu-natal,,university of kwazulu-natal,,,suggested,,"[('university of kansas', 0.7659574468085106), ('university of utah', 0.7555555555555555), ('university of arizona', 0.75), ('university of tulsa', 0.7391304347826086), ('university of waterloo', 0.6938775510204082)]"
university of lisbon,,university of lisbon,,,suggested,,"[('university of iowa', 0.8421052631578947), ('university of wisconsin', 0.8372093023255814), ('university of maribor', 0.8292682926829268), ('university of isfahan', 0.8292682926829268), ('university of houston', 0.8292682926829268)]"
university of maryland  baltimore county,,university of maryland  baltimore county,,,suggested,,"[('university of toronto', 0.6557377049180327), ('university of maribor', 0.6557377049180327), ('university of bayreuth', 0.6451612903225806), ('university of maryland-college park', 0.6666666666666666), ('university of oregon', 0.6333333333333333)]"
university of maryland baltimore,,university of maryland baltimore,,,suggested,,"[('university of maribor', 0.7547169811320755), ('university of maryland-college park', 0.746268656716418), ('university of maine', 0.7058823529411765), ('university of delaware', 0.6296296296296297), ('university of dayton', 0.6538461538461539)]"
university of maryland baltimore county,,university of maryland baltimore county,,,suggested,,"[('university of toronto', 0.6666666666666666), ('university of maribor', 0.6666666666666666), ('university of bayreuth', 0.6557377049180327), ('university of maryland-college park', 0.6756756756756757), ('university of oregon', 0.6440677966101694)]"
university of maryland school of medicine,,university of maryland school of medicine,,,suggested,,"[('washington university school of medicine', 0.7160493827160493), ('university of maryland-college park', 0.6842105263157895), ('university of science and technology of china', 0.6744186046511628), ('university of chemistry and technology in prague', 0.651685393258427), ('university of maine', 0.6333333333333333)]"
university of maryland-baltimore county,,university of maryland-baltimore county,,,suggested,,"[('university of maryland-college park', 0.7027027027027027), ('university of toronto', 0.6666666666666666), ('university of maribor', 0.6666666666666666), ('university of bayreuth', 0.6557377049180327), ('university of oregon', 0.6440677966101694)]"
university of massachusetts medical school,,university of massachusetts medical school,,,suggested,,"[('university of massachusetts lowell', 0.8157894736842105), ('university of massachusetts amherst', 0.8051948051948052), ('university of texas medical branch', 0.7105263157894737), ('university of mississippi medical center', 0.7073170731707317), ('beijing university of chemical technology', 0.6506024096385542)]"
university of michigan ann arbor,,university of michigan ann arbor,,,suggested,,"[('university of michigan', 0.8148148148148148), ('university of maribor', 0.7547169811320755), ('university of cantabria', 0.6909090909090909), ('university of cincinnati', 0.7142857142857143), ('university of canterbury', 0.7142857142857143)]"
university of missouri - columbia,,university of missouri - columbia,,,suggested,,"[('university of missouri', 0.8), ('university of british columbia', 0.7936507936507936), ('university of south carolina', 0.7540983606557377), ('university of minnesota - duluth', 0.7076923076923077), ('university of southern california', 0.696969696969697)]"
university of missouri columbia,,university of missouri columbia,,,suggested,,"[('university of missouri', 0.8301886792452831), ('university of british columbia', 0.819672131147541), ('university of south carolina', 0.7796610169491526), ('university of southern california', 0.71875), ('university of virginia', 0.7169811320754716)]"
university of missouri-columbia,,university of missouri-columbia,,,suggested,,"[('university of missouri', 0.8301886792452831), ('university of british columbia', 0.7868852459016393), ('university of south carolina', 0.7457627118644068), ('university of virginia', 0.7169811320754716), ('university of michigan', 0.6792452830188679)]"
university of naples federico i,,university of naples federico i,,,suggested,,"[('university of new mexico', 0.7636363636363637), ('university of leeds', 0.72), ('university of limerick', 0.7169811320754716), ('university of tennessee', 0.7037037037037037), ('university of warwick', 0.6923076923076923)]"
university of naples federico ii,,university of naples federico ii,,,suggested,,"[('university of new mexico', 0.75), ('university of leeds', 0.7058823529411765), ('university of limerick', 0.7037037037037037), ('university of tennessee', 0.6909090909090909), ('university of warwick', 0.6792452830188679)]"
university of natural resources and life sciences,,university of natural resources and life sciences,,,suggested,,"[('university of minnesota twin cities', 0.5)]"
university of nebraska - lincoln,,university of nebraska - lincoln,,,suggested,,"[('university of nebraska', 0.8148148148148148), ('university of nevada, reno', 0.6551724137931034), ('university of washington', 0.7142857142857143), ('university of new mexico', 0.7142857142857143), ('university of salamanca', 0.6545454545454545)]"
university of nebraska lincoln,,university of nebraska lincoln,,,suggested,,"[('university of nebraska', 0.8461538461538461), ('university of nevada, reno', 0.6785714285714286), ('university of washington', 0.7407407407407407), ('university of new mexico', 0.7407407407407407), ('university of salamanca', 0.6792452830188679)]"
university of nebraska medical center,,university of nebraska medical center,,,suggested,,"[('university of mississippi medical center', 0.7792207792207793), ('university of texas medical branch', 0.7605633802816901), ('university of nebraska', 0.7457627118644068), ('university of connecticut health center', 0.7105263157894737), ('university of nevada, reno', 0.6031746031746031)]"
university of nebraska-lincoln,,university of nebraska-lincoln,,,suggested,,"[('university of nebraska', 0.8461538461538461), ('university of washington', 0.7407407407407407), ('university of salamanca', 0.6792452830188679), ('university of nevada, reno', 0.6785714285714286), ('university of vermont', 0.5882352941176471)]"
university of nebraska-lincoln  lincoln,,university of nebraska-lincoln  lincoln,,,suggested,,"[('university of nebraska', 0.7213114754098361), ('university of nevada, reno', 0.5846153846153846), ('university of wisconsin', 0.5806451612903226), ('university of washington', 0.6349206349206349), ('university of cincinnati', 0.6349206349206349)]"
university of nebraska-lincoln  ne  usa,,university of nebraska-lincoln  ne  usa,,,suggested,,"[('university of nebraska', 0.7213114754098361), ('university of kansas', 0.576271186440678), ('university of british columbia', 0.6376811594202898), ('university of washington', 0.6349206349206349), ('university of cincinnati', 0.6349206349206349)]"
university of new mexico school of medicine,,university of new mexico school of medicine,,,suggested,,"[('university of new mexico', 0.7164179104477612), ('washington university school of medicine', 0.6987951807228916), ('university of wisconsin', 0.6363636363636364), ('university of new haven', 0.6060606060606061), ('university of new hampshire', 0.5714285714285714)]"
university of north carolina at chapel hill and north carolina state university,,university of north carolina at chapel hill and north carolina state university,,,suggested,,"[('university of north carolina at chapel hill', 0.7049180327868853), ('north carolina agricultural and technical state university', 0.656934306569343), ('north carolina aandt state university', 0.6379310344827587)]"
university of north carolina at greensboro,,university of north carolina at greensboro,,,suggested,,"[('university of north carolina at chapel hill', 0.7764705882352941), ('university of south carolina', 0.7428571428571429), ('university of north texas', 0.6567164179104478), ('university of north dakota', 0.6764705882352942), ('university of nevada, reno', 0.5882352941176471)]"
university of north carolina charlotte,,university of north carolina charlotte,,,suggested,,"[('university of north carolina at chapel hill', 0.8148148148148148), ('university of south carolina', 0.7878787878787878), ('university of north dakota', 0.71875), ('university of north texas', 0.6984126984126984), ('university of british columbia', 0.6764705882352942)]"
university of notredame southbend,,university of notredame southbend,,,suggested,,"[('university of notre dame', 0.8070175438596491), ('university of oregon', 0.7169811320754716), ('university of bremen', 0.7169811320754716), ('university of new haven', 0.6785714285714286), ('university of rhode island', 0.711864406779661)]"
university of oklahoma health sciences center,,university of oklahoma health sciences center,,,suggested,,"[('university of connecticut health center', 0.6904761904761905), ('university of oklahoma', 0.6567164179104478), ('the university of manchester', 0.6027397260273972), ('university of alabama in huntsville', 0.575), ('the university of oklahoma', 0.6197183098591549)]"
university of pittsburgh school of medicine,,university of pittsburgh school of medicine,,,suggested,,"[('washington university school of medicine', 0.6987951807228916), ('university of pittsburgh, johnstown', 0.717948717948718), ('university of british columbia', 0.6575342465753424), ('university of south carolina', 0.6197183098591549), ('wake forest school of medicine', 0.6301369863013698)]"
university of puerto rico medical science campus,,university of puerto rico medical science campus,,,suggested,,"[('university of puerto rico, mayaguez', 0.6746987951807228), ('university of texas medical branch', 0.6341463414634146), ('state university of new york environmental science', 0.5918367346938775), ('university of southern maine', 0.5263157894736842), ('university of pretoria', 0.6)]"
university of puerto rico rio piedras campus,,university of puerto rico rio piedras campus,,,suggested,,"[('university of puerto rico, mayaguez', 0.6835443037974683), ('university of pretoria', 0.6363636363636364), ('university of texas at austin', 0.5753424657534246)]"
university of ribeirão preto,,university of ribeirão preto,,,suggested,,"[('university of maribor', 0.7346938775510204), ('university of pretoria', 0.76), ('university of fribourg', 0.72), ('university of oregon', 0.75), ('university of são paulo', 0.7450980392156863)]"
university of rochester medical center,,university of rochester medical center,,,suggested,,"[('university of mississippi medical center', 0.7692307692307693), ('university of rochester', 0.7540983606557377), ('university of connecticut health center', 0.7012987012987013), ('university of texas medical branch', 0.7222222222222222), ('university of southern maine', 0.6363636363636364)]"
university of san diego,,university of san diego,,,suggested,,"[('university of maine', 0.8095238095238095), ('university of liege', 0.8095238095238095), ('university of california san diego', 0.8070175438596491), ('university of sydney', 0.7906976744186046), ('university of oregon', 0.7906976744186046)]"
university of sayyed jamaleddin asadabadi,,university of sayyed jamaleddin asadabadi,,,suggested,,"[('university of salamanca', 0.65625), ('university of california davis', 0.6197183098591549), ('university of queensland', 0.5230769230769231), ('university of california san diego', 0.5066666666666667), ('university of alabama', 0.5806451612903226)]"
university of tennessee  knoxville,,university of tennessee  knoxville,,,suggested,,"[('university of tennessee', 0.8070175438596491), ('university of louisville', 0.6896551724137931), ('university of new haven', 0.5614035087719298), ('university of the peloponnese,', 0.65625), ('university of texas rio grande valley', 0.647887323943662)]"
university of tennessee institute of agriculture,,university of tennessee institute of agriculture,,,suggested,,"[('university of tennessee', 0.647887323943662), ('university of connecticut', 0.6027397260273972), ('university of minnesota twin cities', 0.5783132530120482)]"
university of tennessee knoxville,,university of tennessee knoxville,,,suggested,,"[('university of tennessee', 0.8214285714285714), ('university of louisville', 0.7017543859649122), ('university of new haven', 0.5714285714285714), ('university of the peloponnese,', 0.6666666666666666), ('university of texas rio grande valley', 0.6571428571428571)]"
university of tennessee oak ridge national lab,,university of tennessee oak ridge national lab,,,suggested,,"[('university of tennessee', 0.6666666666666666), ('university of texas rio grande valley', 0.6265060240963856), ('university of minnesota twin cities', 0.5679012345679012), ('university of nevada, reno', 0.4722222222222222), ('university of engineering and technology lahore', 0.4731182795698925)]"
university of tennessee-knoxville,,university of tennessee-knoxville,,,suggested,,"[('university of tennessee', 0.8214285714285714), ('university of louisville', 0.7017543859649122), ('university of the peloponnese,', 0.6666666666666666), ('university of new mexico', 0.631578947368421), ('university of pannonia', 0.6545454545454545)]"
university of tennessee-oak ridge innovation institute,,university of tennessee-oak ridge innovation institute,,,suggested,,"[('university of minnesota twin cities', 0.5842696629213483)]"
university of texas at san antonio,,university of texas at san antonio,,,suggested,,"[('university of texas at austin', 0.7936507936507936), ('the university of texas at el paso', 0.7352941176470589), ('the university of texas at tyler', 0.7272727272727273), ('university of pannonia', 0.7142857142857143), ('university of texas medical branch', 0.7058823529411765)]"
university of texas at san antonio  usa,,university of texas at san antonio  usa,,,suggested,,"[('university of texas at austin', 0.7647058823529411), ('the university of texas at el paso', 0.684931506849315), ('university of pannonia', 0.6885245901639344), ('the university of texas at tyler', 0.676056338028169), ('university of texas medical branch', 0.6575342465753424)]"
university of the western cape,,university of the western cape,,,suggested,,"[('university of southern maine', 0.7586206896551724), ('university of tennessee', 0.7547169811320755), ('university of rochester', 0.7547169811320755), ('university of western australia', 0.7540983606557377), ('university of the witwatersrand', 0.7540983606557377)]"
university of the witwatersrand  johannesburg,,university of the witwatersrand  johannesburg,,,suggested,,"[('university of the witwatersrand', 0.8157894736842105), ('university of the peloponnese,', 0.64), ('university of gothenburg', 0.6376811594202898), ('university of southern maine', 0.5753424657534246), ('university of rhode island', 0.6197183098591549)]"
university of toulouse  imt mines albi  umr cnrs 5302  rapsodee centre  campus jarlard  albi cedex 09 f-81013,,university of toulouse  imt mines albi  umr cnrs 5302  rapsodee centre  campus jarlard  albi cedex 09 f-81013,,,unmapped,,[]
university of twente,,university of twente,,,suggested,,"[('university of tennessee', 0.8372093023255814), ('university of vermont', 0.8292682926829268), ('university of toronto', 0.8292682926829268), ('university of munster', 0.8292682926829268), ('university of tartu', 0.8205128205128205)]"
